Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,066052,1945,06,147.3,Y
IDCJAC0001,066052,1945,07,65.0,Y
IDCJAC0001,066052,1945,08,49.1,Y
IDCJAC0001,066052,1945,09,6.4,Y
IDCJAC0001,066052,1945,10,28.5,Y
IDCJAC0001,066052,1945,11,52.7,Y
IDCJAC0001,066052,1945,12,35.1,Y
IDCJAC0001,066052,1946,01,12.8,Y
IDCJAC0001,066052,1946,02,47.3,Y
IDCJAC0001,066052,1946,03,93.5,Y
IDCJAC0001,066052,1946,04,156.7,Y
IDCJAC0001,066052,1946,05,49.0,Y
IDCJAC0001,066052,1946,06,112.9,Y
IDCJAC0001,066052,1946,07,2.5,Y
IDCJAC0001,066052,1946,08,1.6,Y
IDCJAC0001,066052,1946,09,25.7,Y
IDCJAC0001,066052,1946,10,66.3,Y
IDCJAC0001,066052,1946,11,109.4,Y
IDCJAC0001,066052,1946,12,18.6,Y
IDCJAC0001,066052,1947,01,56.1,Y
IDCJAC0001,066052,1947,02,103.9,Y
IDCJAC0001,066052,1947,03,61.3,Y
IDCJAC0001,066052,1947,04,182.0,Y
IDCJAC0001,066052,1947,05,106.5,Y
IDCJAC0001,066052,1947,06,43.4,Y
IDCJAC0001,066052,1947,07,14.3,Y
IDCJAC0001,066052,1947,08,49.1,Y
IDCJAC0001,066052,1947,09,19.4,Y
IDCJAC0001,066052,1947,10,38.3,Y
IDCJAC0001,066052,1947,11,81.0,Y
IDCJAC0001,066052,1947,12,177.1,Y
IDCJAC0001,066052,1948,01,193.7,Y
IDCJAC0001,066052,1948,02,43.0,Y
IDCJAC0001,066052,1948,03,132.8,Y
IDCJAC0001,066052,1948,04,44.4,Y
IDCJAC0001,066052,1948,05,170.4,Y
IDCJAC0001,066052,1948,06,181.5,Y
IDCJAC0001,066052,1948,07,30.7,Y
IDCJAC0001,066052,1948,08,5.5,Y
IDCJAC0001,066052,1948,09,45.8,Y
IDCJAC0001,066052,1948,10,43.5,Y
IDCJAC0001,066052,1948,11,24.5,Y
IDCJAC0001,066052,1948,12,58.3,Y
IDCJAC0001,066052,1949,01,186.5,Y
IDCJAC0001,066052,1949,02,144.2,Y
IDCJAC0001,066052,1949,03,99.0,Y
IDCJAC0001,066052,1949,04,23.3,Y
IDCJAC0001,066052,1949,05,95.6,Y
IDCJAC0001,066052,1949,06,268.8,Y
IDCJAC0001,066052,1949,07,36.4,Y
IDCJAC0001,066052,1949,08,113.1,Y
IDCJAC0001,066052,1949,09,204.8,Y
IDCJAC0001,066052,1949,10,32.8,Y
IDCJAC0001,066052,1949,11,72.3,Y
IDCJAC0001,066052,1949,12,46.5,Y
IDCJAC0001,066052,1950,01,142.6,Y
